,Animal Type,Sex Upon Outcome,Normalized Age,Breed,Color,Outcome
480,Dog,Neutered Male,2.0954380928320413,Cairn Terrier Mix,Cream,0
481,Dog,Intact Female,-0.0300648082533765,Dachshund Mix,Brown/Tan,0
482,Dog,Spayed Female,0.2789983040507287,Chihuahua Shorthair,Tan,0
483,Dog,Spayed Female,1.6947664532282163,Beagle Mix,Black/Brown,0
484,Dog,Intact Female,2.9837632060414454,Labrador Retriever Mix,Yellow,0
485,Dog,Intact Male,-0.45294457568743657,German Shepherd/Belgian Malinois,Brown,0
486,Dog,Intact Male,0.8434548864025375,Australian Shepherd Mix,Black/Gray,0
487,Dog,Spayed Female,-0.6824285632665326,Bull Terrier,White/Black,0
488,Dog,Neutered Male,-0.6592950967767044,Labrador Retriever/Great Pyrenees,Brown/White,0
489,Dog,Neutered Male,0.6454324132496079,Chihuahua Shorthair Mix,Black,0
490,Cat,Unknown,-0.39187222415429,Domestic Shorthair,Black,0
491,Dog,Spayed Female,-0.4594219463045885,Boston Terrier Mix,White,0
492,Dog,Spayed Female,1.3940313888604492,Pit Bull Mix,Chocolate,0
493,Dog,Neutered Male,0.2901023679658462,American Bulldog Mix,Black/White,0
494,Dog,Spayed Female,2.47945363656319,Beagle Mix,Tricolor,0
495,Dog,Spayed Female,1.2968708296031708,Yorkshire Terrier,Brown/Black,0
496,Dog,Intact Female,-0.713890077692699,Chihuahua Shorthair,Brown/Tan,0
497,Cat,Neutered Male,-0.6222815503929792,Domestic Shorthair Mix,Orange Tabby,0
498,Dog,Neutered Male,-0.22068457212956114,Labrador Retriever/Pit Bull,Black/White,0
499,Cat,Neutered Male,-0.6602204354362975,Domestic Shorthair Mix,Black/White,0
500,Cat,Unknown,-0.39279756281388317,Domestic Medium Hair,Brown Tabby,0
